time,open,high,low,close
1713967200,486.33,491.01,471,481.11
1713970800,480.32,481.2,471,472.91
1713974400,471.95,474.8,451.53,460.72
1713978000,460.71,466.53,456.88,458.64
1713981600,458.84,464.92,450,450.11
1713985200,450.56,456.17,444.87,450.94
1713988800,450.52,455.71,447.37,451.98
1713992400,451.98,455.28,445,455.28
1713996000,455.17,456.16,445.48,449.98
1713999600,449.3,452.92,445,452.92
1714003200,452.17,460,451.03,457.47
1714006800,457.9,459.29,452.81,452.81
1714010400,450.49,455.05,448.56,454.65
1714014000,454.27,455.67,448.22,448.22
1714017600,447.52,450.85,440.58,448.15
1714021200,449.02,456.21,449.02,452.36
1714024800,452.9,455.54,451.03,452.4
1714028400,453.13,464.04,450,461.12
1714032000,460.5,466.11,455.6,458.14
1714035600,458.78,467.58,456.3,461.33
1714039200,461.16,461.35,448.19,450.1
1714042800,450.73,462.93,450.21,458.26
1714046400,457.94,463.36,450,450.93
1714050000,450.98,453.98,447.37,453.7
1714053600,452.74,459.9,452.1,455.15
1714057200,455.41,463.66,452.77,462.51
1714060800,462.9,465,460.7,464.53
1714064400,463.71,466,457.57,461.58
1714068000,460.84,463.9,458.25,462.45
1714071600,462.63,464.54,459.3,464.54
1714075200,464.02,469.14,462.72,468.42
1714078800,468.2,472,465,465.99
1714082400,465.84,465.84,457.98,459
1714086000,459,463.97,457.9,460.82
1714089600,460.39,461.12,450.27,452.5
1714093200,452.31,454,446,452.92
1714096800,452.93,456.3,451.2,456.3
1714100400,455.92,457.21,451.05,452
1714104000,451.58,456.63,448.67,453.76
1714107600,452.77,457.56,450.42,454.28
1714111200,455.12,455.73,449.56,450
1714114800,450,451.44,444.38,444.38
1714118400,445.54,447.88,443.11,445.89
1714122000,445.89,449.91,444.3,447.23
1714125600,447.78,448.39,441.22,443.46
1714129200,443.87,446.88,442.5,445.81
1714132800,444.59,447.3,441,442.42
1714136400,441.7,441.87,431,440.36
1714140000,441.16,447,431.58,435.57
1714143600,434.82,446.26,432.71,437.62
1714147200,437.1,440.94,435,437.17
1714150800,437.17,439.06,434.54,438.7
1714154400,438.7,438.7,433.32,434.75
1714158000,434.75,435.6,425,432.63
1714161600,432.19,435.19,415,433.08
1714165200,432.44,434.02,429.71,432.58
1714168800,434.18,434.18,425.21,426.73
1714172400,427.07,430.06,426.12,427.3
1714176000,427.48,427.51,417.75,420
1714179600,420,421.01,411,414.23
1714183200,412.87,424.81,411.24,421.08
1714186800,420.99,422.28,418.12,420.24
1714190400,421.2,424.78,419.1,422.79
1714194000,423.69,424,419.61,421.74
1714197600,421.51,425.27,418.39,420.25
1714201200,420.67,424.66,420.25,423.15
1714204800,424,424,417.41,419.04
1714208400,419.25,421,415,418.45
1714212000,418.3,419.99,413.19,416.41
1714215600,415,416.18,411.25,413.29
1714219200,413.33,419.5,413.11,418.55
1714222800,418.55,423.12,417.94,421.95
1714226400,421.95,424.57,418.14,418.55
1714230000,419.32,419.32,410,415
1714233600,415,418,415,416.12
1714237200,415.93,430.15,410.3,425.86
1714240800,425.93,427.14,417.32,422.03
1714244400,422.03,422.84,419,422.05
1714248000,422.06,423.63,421.12,422.43
1714251600,422.45,423.46,418.25,423.01
1714255200,423.01,423.97,400,419.65
1714258800,419.65,423.88,419,421.18
1714262400,421.18,425.33,419.29,423.32
1714266000,423.22,426.17,418.71,425.39
1714269600,425.7,430.68,425.26,430.37
1714273200,430.15,433.33,429.52,431.52
1714276800,431.47,433.03,427.36,428.42
1714280400,428.92,435.37,427.65,434.42
1714284000,433.28,436.09,430.49,435.15
1714287600,435.13,438.42,433.45,435.95
1714291200,436.15,436.75,428.73,429.76
1714294800,429.78,435.05,425.69,429.97
1714298400,428.92,430.08,423,424.86
1714302000,424.82,428.8,423,427.69
1714305600,426.45,429.46,425.26,427.98
1714309200,427.98,435.83,427.53,434.79
1714312800,434.64,435.43,429.82,433.09
1714316400,432.32,435.54,429.87,434.27
1714320000,433.99,438.88,433.25,435.78
1714323600,435.67,436.45,433.62,433.62
1714327200,433.62,435.93,430.22,435.93
1714330800,436.01,436.01,432.69,435.14
1714334400,434.09,435.64,431.13,434.46
1714338000,434.71,435.3,430,430.36
1714341600,430.2,431.61,423.13,424.26
1714345200,424.25,424.73,420,423
1714348800,422.61,427.94,420.87,427.34
1714352400,426.8,430.24,422.61,426.81
1714356000,426.62,428.87,419.76,422.19
1714359600,421.21,423.5,415.5,415.64
1714363200,415.5,422,415.39,419.58
1714366800,418.85,419.72,408.43,416.09
1714370400,416.53,417.03,406.11,407.21
1714374000,407.21,414.54,406.81,414.54
1714377600,413.92,415,408.23,412.28
1714381200,412.28,414.36,403.33,408.11
1714384800,408.1,410.71,385,394.4
1714388400,393.04,401,390,399.47
1714392000,399.02,405.43,395,404.32
1714395600,404.31,407.19,389.46,392.75
1714399200,392.77,404.22,390,403.61
1714402800,403.75,409.65,403,408.17
1714406400,408.59,413.09,398.77,399.74
1714410000,399.91,408.47,399.63,403.88
1714413600,403.46,406.92,400.03,403.65
1714417200,402.13,406.18,400.1,405.59
1714420800,405.59,409,402.09,403.57
1714424400,404.11,405,399.31,401.31
1714428000,401.26,410,400.91,409.75
1714431600,408.64,411.67,400.52,401.37
1714435200,401.62,405.76,395.21,404.47
1714438800,404.51,404.53,395.02,395.53
1714442400,395.01,400.99,391.09,398.39
1714446000,397.64,400.08,396.48,397.7
1714449600,397.7,399.98,390.29,392.01
1714453200,392.11,393.44,388.14,391.67
1714456800,391.66,395,390.36,393.45
1714460400,393.45,393.5,388,390.08
1714464000,389.67,390.48,377,379
1714467600,379,388.93,376,380.27
1714471200,380.5,383,375.66,379.08
1714474800,377.86,378.68,372,374.78
1714478400,374.03,378.24,365.8,372.7
1714482000,372.32,375.97,368.27,370.05
1714485600,370.42,383.29,366.13,380.29
1714489200,379.85,382.68,371.25,375.69
1714492800,375.06,377,368.52,373.88
1714496400,372.94,374.63,365.45,371.17
1714500000,370.93,378.88,368.45,378.88
1714503600,378.88,380.84,368.9,372.98
1714507200,370.36,383.13,370.15,382.47
1714510800,381.79,386.81,378.39,382.72
1714514400,382.34,392.39,381.36,388.59
1714518000,388.31,390.57,385.36,388.38
1714521600,388.39,392.73,380,382.7
1714525200,382.71,388.86,380.33,386
1714528800,385.71,385.71,373.52,376.25
1714532400,376.32,377.57,372.22,377
1714536000,376.08,377,371.02,371.27
1714539600,371.27,374.68,370.02,371.1
1714543200,371.11,371.79,361,361
1714546800,361.01,361.64,342,347.13
1714550400,347.02,353.5,337.83,351.76
1714554000,352.29,359.65,351.75,357.89
1714557600,357.89,365,357.75,362.51
1714561200,361.91,361.91,352.81,361
1714564800,360.99,370.06,359.27,364.98
1714568400,364.98,366.15,358.34,359.46
1714572000,359.28,362.44,357.33,360.1
1714575600,360.95,362.42,354.61,358.12
1714579200,357.82,363.86,356.43,359.94
1714582800,359.35,370.73,359.07,370.05
1714586400,369.78,390.31,369.25,385
1714590000,385,388.63,371.54,375.19
1714593600,375.56,381.09,371.03,378.04
1714597200,377.55,384.3,376.29,382.49
1714600800,382.49,385.36,378.33,379.33
1714604400,379.05,384.47,377.75,380.95
1714608000,381,381.72,369.57,373.38
1714611600,372.34,374.61,366.21,368.72
1714615200,368.95,375.67,368.81,372.9
1714618800,373,382.06,372.99,377.14
1714622400,376.72,377.9,373.24,374.35
1714626000,373.4,375.9,369,373.24
1714629600,373.25,375.06,370.19,372.21
1714633200,372.21,377,371.94,373.86
1714636800,373.32,382.54,372.82,381.17
1714640400,381.17,385.74,378.01,383.18
1714644000,383.51,389.64,382.55,389.01
1714647600,389.01,400,388.59,398.14
1714651200,397.25,399.8,392.64,394.69
1714654800,394.7,402,394.03,395.03
1714658400,394.32,407.03,393.53,405.01
1714662000,405.02,412,401.22,401.34
1714665600,401.35,401.82,394.42,398.3
1714669200,398.4,407.43,397.31,403.27
1714672800,402.43,405.82,399.01,402.66
1714676400,401.93,403.05,398.17,401.49
1714680000,401.38,401.5,394.41,396.55
1714683600,396.61,406.09,396.61,404.61
1714687200,403.73,414.61,403.52,407.38
1714690800,407.38,408.67,403.54,403.91
1714694400,403.73,407.8,398.35,398.94
1714698000,399.09,407.81,398.57,403.46
1714701600,403.42,409.46,402.31,403.47
1714705200,403.47,408.17,403.47,406.66
1714708800,406.66,406.78,401.1,403.4
1714712400,403.44,404.69,400.06,401.2
1714716000,400.83,403.17,399.12,399.73
1714719600,399.57,402.76,395.07,397.76
1714723200,397.54,401,397.54,398.91
1714726800,399.04,401.57,398.02,400.04
1714730400,400.04,402.36,394.44,396.69
1714734000,396.64,396.97,392.57,395.05
1714737600,395.16,410,392.67,407.9
